linename,station,weekdate_2022,weekend_am_2022,weekend_pm_2022,weekday_am_2022,weekday_pm_2022,week,weekdate_bl,weekend_am_bl,weekend_pm_bl,weekday_am_bl,weekday_pm_bl,d_weekend_am,d_weekend_pm,d_weekday_am,d_weekday_pm,lat,lon
25,GUN HILL RD,2022-01-31T00:00:00Z,506,556,4650,2649,5,2020-02-03T00:00:00Z,1197,1734,10948,7297,0.4227234753550543,0.3206459054209919,0.4247351114358787,0.3630259010552282,40.87783939,-73.86613411
7,40 ST LOWERY ST,2022-02-07T00:00:00Z,1088,1226,9180,6581,6,2020-02-10T00:00:00Z,2250,2482,21898,12658,0.48355555555555557,0.4939564867042707,0.4192163667914878,0.5199083583504504,40.743781,-73.924016
R1W,WHITEHALL S-FRY,2022-03-28T00:00:00Z,430,1210,6681,8264,13,2019-04-01T00:00:00Z,1151,3509,16002,35662,0.3735881841876629,0.3448275862068966,0.4175103112110986,0.23173125455667096,40.70314237,-74.01300724
3,NOSTRAND AV,2022-01-24T00:00:00Z,242,381,2590,2634,4,2020-01-27T00:00:00Z,956,1287,7926,4910,0.25313807531380755,0.29603729603729606,0.3267726469846076,0.5364562118126273,40.66993815,-73.95042625
ACFR,JAY ST-METROTEC,2022-02-21T00:00:00Z,1553,3539,9015,30360,8,2019-02-25T00:00:00Z,3874,9747,36854,106661,0.4008776458440888,0.3630860777675182,0.24461388180387475,0.284640121506455,"NA","NA"
D,FT HAMILTON PKY,2022-03-28T00:00:00Z,368,434,4789,2721,13,2019-04-01T00:00:00Z,0,0,7439,4413,"NA","NA",0.6437693238338487,0.6165873555404486,40.64091271,-73.99420224
7,METS-WILLETS PT,2022-04-18T00:00:00Z,136,2218,1516,4049,16,2019-04-22T00:00:00Z,355,3024,3582,7201,0.38309859154929576,0.7334656084656085,0.4232272473478504,0.5622830162477434,40.754622,-73.845625
34,CROWN HTS-UTICA,2022-04-04T00:00:00Z,1876,2649,19976,8945,14,2019-04-08T00:00:00Z,2982,5033,38193,20475,0.6291079812206573,0.5263262467713093,0.5230277799596785,0.4368742368742369,40.66897831,-73.93293256
1,66 ST-LINCOLN,2022-03-07T00:00:00Z,211,3349,1772,17076,10,2019-03-11T00:00:00Z,711,5074,13008,36820,0.2967651195499297,0.6600315333070556,0.13622386223862237,0.46376969038565996,40.77344,-73.982209
BQ,SHEEPSHEAD BAY,2022-03-21T00:00:00Z,1091,1106,14208,5422,12,2019-03-25T00:00:00Z,1920,2313,33812,10546,0.5682291666666667,0.47816688283614356,0.4202058440790252,0.5141285795562298,40.58654755,-73.95405791
25,3 AV-149 ST,2022-03-07T00:00:00Z,1706,1736,14963,13399,10,2019-03-11T00:00:00Z,2179,4388,19391,25734,0.7829279486002754,0.39562443026435734,0.7716466401939044,0.5206730395585607,40.81602925,-73.91779153
A,ROCKAWAY BLVD,2022-04-18T00:00:00Z,1162,1225,7169,2222,16,2019-04-22T00:00:00Z,3,0,14753,4428,387.3333333333333,"NA",0.4859350640547685,0.501806684733514,40.680429,-73.843853
R,PROSPECT AV,2022-03-21T00:00:00Z,165,727,2433,3705,12,2019-03-25T00:00:00Z,308,1410,4559,6677,0.5357142857142857,0.5156028368794326,0.5336696644000878,0.5548899206230343,40.66541367,-73.992872
1,215 ST,2022-03-21T00:00:00Z,102,217,998,1316,12,2019-03-25T00:00:00Z,135,566,1365,2367,0.7555555555555555,0.3833922261484099,0.7311355311355311,0.5559780312632023,40.869444,-73.915279
25,225 ST,2022-01-10T00:00:00Z,300,238,3136,1065,2,2020-01-13T00:00:00Z,669,563,7433,2355,0.4484304932735426,0.4227353463587922,0.42190232745863043,0.45222929936305734,40.88802826,-73.86021462
23,CENTRAL PK N110,2022-02-28T00:00:00Z,813,1106,6408,5414,9,2019-03-04T00:00:00Z,1851,3378,15743,11867,0.4392220421393841,0.32741267021906456,0.40703804865654575,0.45622313979944384,40.799075,-73.951822
6,77 ST,2022-04-18T00:00:00Z,208,1115,5354,16804,16,2019-04-22T00:00:00Z,1074,7062,19450,36087,0.19366852886405958,0.15788728405550836,0.2752699228791774,0.46565245102114333,40.77362,-73.959874
D,18 AV,2022-02-21T00:00:00Z,1073,726,5909,2514,8,2019-02-25T00:00:00Z,2102,1597,14985,5266,0.5104662226450999,0.4546023794614903,0.39432766099432764,0.47740220281048235,40.60773573,-74.00159259
25,PRESIDENT ST,2022-02-28T00:00:00Z,346,347,3642,3088,9,2019-03-04T00:00:00Z,569,852,9338,4712,0.6080843585237259,0.4072769953051643,0.3900192760762476,0.6553480475382003,40.6678836,-73.9505892
BC,86 ST,2022-03-21T00:00:00Z,40,633,1499,7835,12,2019-03-25T00:00:00Z,131,3113,3753,15696,0.3053435114503817,0.2033408287825249,0.39941380229150014,0.4991717635066259,40.78582305,-73.96882849
BD,174-175 STS,2022-03-14T00:00:00Z,340,396,3241,2744,11,2019-03-18T00:00:00Z,753,1043,5861,5304,0.45152722443559096,0.3796740172579099,0.5529773076266848,0.5173453996983409,40.8459,-73.910136
7,33 ST-RAWSON ST,2022-02-28T00:00:00Z,155,351,1467,10872,9,2019-03-04T00:00:00Z,341,1365,4252,27218,0.45454545454545453,0.2571428571428571,0.34501411100658513,0.39944154603571164,40.744587,-73.930997
6,E 143/ST MARY'S,2022-03-21T00:00:00Z,34,47,770,902,12,2019-03-25T00:00:00Z,81,117,1168,1150,0.41975308641975306,0.4017094017094017,0.6592465753424658,0.7843478260869565,40.808719,-73.907657
6,CASTLE HILL AV,2022-01-24T00:00:00Z,498,414,6899,2476,4,2020-01-27T00:00:00Z,1549,1392,13896,5541,0.32149774047772756,0.2974137931034483,0.4964738054116292,0.44685074896228116,40.834255,-73.851222
25,PROSPECT AV,2022-03-28T00:00:00Z,849,585,6824,2744,13,2019-04-01T00:00:00Z,1476,1411,11879,6068,0.5752032520325203,0.4145995747696669,0.5744591295563599,0.45220830586684246,40.81948726,-73.90177779
4,KINGSBRIDGE RD,2022-01-03T00:00:00Z,800,670,5830,2968,1,2020-01-06T00:00:00Z,1306,1635,11894,8058,0.6125574272588055,0.40978593272171254,0.490163107449134,0.3683296103251427,40.86776,-73.897174
25,INTERVALE AV,2022-01-03T00:00:00Z,250,239,1909,1365,1,2020-01-06T00:00:00Z,415,644,3856,3512,0.6024096385542169,0.37111801242236025,0.49507261410788383,0.3886674259681093,40.82214213,-73.89661738
3,NOSTRAND AV,2022-03-21T00:00:00Z,139,468,1633,2425,12,2019-03-25T00:00:00Z,286,1044,3539,4628,0.486013986013986,0.4482758620689655,0.4614297824244137,0.5239844425237684,40.66993815,-73.95042625
3,NEW LOTS AV,2022-04-04T00:00:00Z,536,592,5382,2271,14,2019-04-08T00:00:00Z,889,993,13058,4522,0.6029246344206974,0.5961732124874118,0.41216112727829685,0.5022114108801415,40.66631493,-73.88411071
A,BEACH 36 ST,2022-03-07T00:00:00Z,78,56,1062,365,10,2019-03-11T00:00:00Z,172,184,2084,673,0.45348837209302323,0.30434782608695654,0.5095969289827256,0.5423476968796433,40.595398,-73.768175
S2345,BOTANIC GARDEN,2022-03-28T00:00:00Z,44,200,785,656,13,2019-04-01T00:00:00Z,89,568,1409,1627,0.4943820224719101,0.352112676056338,0.5571327182398864,0.4031960663798402,40.67034267,-73.959245
6,68ST-HUNTER CO,2022-03-21T00:00:00Z,421,1451,3238,18483,12,2019-03-25T00:00:00Z,717,4201,8603,43286,0.5871687587168759,0.3453939538205189,0.37638033244217134,0.42699718153675553,40.768141,-73.96387
FG,15 ST-PROSPECT,2022-01-10T00:00:00Z,372,480,3917,2500,2,2020-01-13T00:00:00Z,1267,1819,15715,6774,0.2936069455406472,0.2638812534359538,0.2492523067133312,0.3690581635665781,40.66003569,-73.97973581
A,BEACH 60 ST,2022-03-07T00:00:00Z,189,145,1923,705,10,2019-03-11T00:00:00Z,380,428,4218,1265,0.49736842105263157,0.338785046728972,0.45590327169274536,0.5573122529644269,40.592374,-73.788522
L,MONTROSE AV,2022-01-17T00:00:00Z,546,890,3382,3591,3,2020-01-20T00:00:00Z,837,1503,12052,7843,0.6523297491039427,0.5921490352628077,0.2806173249253236,0.45786051255896976,40.70739106,-73.93979285
23,HOYT ST,2022-01-24T00:00:00Z,234,775,2396,7070,4,2020-01-27T00:00:00Z,902,3691,7115,15923,0.25942350332594233,0.20997019777837983,0.33675333801827123,0.4440118068203228,40.69054419,-73.9850638
J,85 ST-FOREST PK,2022-01-03T00:00:00Z,547,294,3871,1143,1,2020-01-06T00:00:00Z,3,0,8485,2451,182.33333333333334,"NA",0.45621685327047734,0.4663402692778458,40.692427,-73.860087
A,175 ST,2022-01-03T00:00:00Z,1063,1130,7264,4669,1,2020-01-06T00:00:00Z,3463,3791,28553,13964,0.30695928385792665,0.2980743867053548,0.2544040906384618,0.334359782297336,40.847391,-73.939704
25,SIMPSON ST,2022-04-18T00:00:00Z,868,740,5738,2953,16,2019-04-22T00:00:00Z,1065,1292,6788,5174,0.8150234741784037,0.5727554179566563,0.8453152622274602,0.5707383069192115,40.82397684,-73.8930664
L,GRAND ST,2022-02-14T00:00:00Z,505,875,4312,5919,7,2019-02-18T00:00:00Z,1,0,8593,7185,505,"NA",0.5018037937856394,0.8237995824634655,40.711576,-73.940497
6,77 ST,2022-02-14T00:00:00Z,306,3346,3284,23722,7,2019-02-18T00:00:00Z,497,6603,6549,39129,0.6156941649899397,0.5067393608965621,0.5014506031455184,0.6062511180965524,40.77362,-73.959874
A,FAR ROCKAWAY,2022-04-11T00:00:00Z,330,430,3668,2638,15,2019-04-15T00:00:00Z,611,1004,7018,4283,0.5400981996726678,0.42828685258964144,0.5226560273582217,0.6159234181648378,40.603995,-73.755405
JZ,104 ST,2022-01-31T00:00:00Z,0,0,2857,1004,5,2020-02-03T00:00:00Z,654,423,4368,1593,0,0,0.6540750915750916,0.6302573760200879,40.695166,-73.844435
