linename,station,weekdate,week,weekend,weekday_am,weekday_pm
4,BURNSIDE AV,2022-05-02T00:00:00Z,18,4904,7435,4243
4,BURNSIDE AV,2022-05-09T00:00:00Z,19,,7749,4530
4,FORDHAM RD,2022-05-02T00:00:00Z,18,5580,6947,4936
4,FORDHAM RD,2022-05-09T00:00:00Z,19,,7464,5320
4,KINGSBRIDGE RD,2022-05-02T00:00:00Z,18,4507,9363,3063
4,KINGSBRIDGE RD,2022-05-09T00:00:00Z,19,,9852,3310
4,MOSHOLU PKWY,2022-05-02T00:00:00Z,18,3801,7815,3247
4,MOSHOLU PKWY,2022-05-09T00:00:00Z,19,,7841,3500
4,MT EDEN AV,2022-05-02T00:00:00Z,18,2412,3836,2474
4,MT EDEN AV,2022-05-09T00:00:00Z,19,,4043,2573
4,WOODLAWN,2022-05-02T00:00:00Z,18,3343,6104,3263
4,WOODLAWN,2022-05-09T00:00:00Z,19,,6604,3526
45,138/GRAND CONC,2022-05-02T00:00:00Z,18,1337,1646,2764
45,138/GRAND CONC,2022-05-09T00:00:00Z,19,,1819,2940
45,BOWLING GREEN,2022-05-02T00:00:00Z,18,6419,5035,22423
45,BOWLING GREEN,2022-05-09T00:00:00Z,19,,5256,22987
45,WALL ST,2022-05-02T00:00:00Z,18,3680,3736,12907
45,WALL ST,2022-05-09T00:00:00Z,19,,3748,13052
456,125 ST,2022-05-02T00:00:00Z,18,10231,14694,12373
456,125 ST,2022-05-09T00:00:00Z,19,,16414,13479
456,86 ST,2022-05-02T00:00:00Z,18,17979,7178,37788
456,86 ST,2022-05-09T00:00:00Z,19,,6762,37675
4567S,GRD CNTRL-42 ST,2022-05-02T00:00:00Z,18,36556,27382,83612
4567S,GRD CNTRL-42 ST,2022-05-09T00:00:00Z,19,,26721,83325
456JZ,BROOKLYN BRIDGE,2022-05-02T00:00:00Z,18,6680,2297,29597
456JZ,BROOKLYN BRIDGE,2022-05-09T00:00:00Z,19,,2542,28222
456NQRW,59 ST,2022-05-02T00:00:00Z,18,31509,16281,66993
456NQRW,59 ST,2022-05-09T00:00:00Z,19,,16377,69015
5,BAYCHESTER AV,2022-05-02T00:00:00Z,18,890,4034,1040
5,BAYCHESTER AV,2022-05-09T00:00:00Z,19,,4206,910
5,EASTCHSTER/DYRE,2022-05-02T00:00:00Z,18,1246,6162,1393
5,EASTCHSTER/DYRE,2022-05-09T00:00:00Z,19,,6460,1536
5,GUN HILL RD,2022-05-02T00:00:00Z,18,1719,5872,1473
5,GUN HILL RD,2022-05-09T00:00:00Z,19,,6022,1616
5,MORRIS PARK,2022-05-02T00:00:00Z,18,985,3474,456
5,MORRIS PARK,2022-05-09T00:00:00Z,19,,3504,495
5,PELHAM PKWY,2022-05-02T00:00:00Z,18,799,3781,876
5,PELHAM PKWY,2022-05-09T00:00:00Z,19,,4112,965
6,103 ST,2022-05-02T00:00:00Z,18,5334,7196,6473
6,103 ST,2022-05-09T00:00:00Z,19,,7694,6920
6,110 ST,2022-05-02T00:00:00Z,18,4674,4535,5964
6,110 ST,2022-05-09T00:00:00Z,19,,4752,6616
6,116 ST,2022-05-02T00:00:00Z,18,7760,9189,7057
6,116 ST,2022-05-09T00:00:00Z,19,,9941,7594
6,23 ST,2022-05-02T00:00:00Z,18,6738,4867,16252
6,23 ST,2022-05-09T00:00:00Z,19,,4832,16197
6,28 ST,2022-05-02T00:00:00Z,18,5847,3478,10988
6,28 ST,2022-05-09T00:00:00Z,19,,3476,11070
6,3 AV 138 ST,2022-05-02T00:00:00Z,18,5845,7098,3179
6,3 AV 138 ST,2022-05-09T00:00:00Z,19,,7416,3331
6,33 ST,2022-05-02T00:00:00Z,18,7267,5033,15458
6,33 ST,2022-05-09T00:00:00Z,19,,4819,15214
6,51 ST,2022-05-02T00:00:00Z,18,5123,925,14367
6,51 ST,2022-05-09T00:00:00Z,19,,959,14015
6,68ST-HUNTER CO,2022-05-02T00:00:00Z,18,5152,3814,18215
6,68ST-HUNTER CO,2022-05-09T00:00:00Z,19,,3373,18412
6,77 ST,2022-05-02T00:00:00Z,18,8836,6554,18477
6,77 ST,2022-05-09T00:00:00Z,19,,6519,17952
6,96 ST,2022-05-02T00:00:00Z,18,5012,6645,10534
6,96 ST,2022-05-09T00:00:00Z,19,,6360,10946
6,ASTOR PL,2022-05-02T00:00:00Z,18,5823,2743,8554
6,ASTOR PL,2022-05-09T00:00:00Z,19,,2595,8081
6,BROOK AV,2022-05-02T00:00:00Z,18,943,5546,2391
6,BROOK AV,2022-05-09T00:00:00Z,19,,6035,2353
6,BUHRE AV,2022-05-02T00:00:00Z,18,1457,5035,856
6,BUHRE AV,2022-05-09T00:00:00Z,19,,5423,950
6,CASTLE HILL AV,2022-05-02T00:00:00Z,18,2886,6052,2298
6,CASTLE HILL AV,2022-05-09T00:00:00Z,19,,6406,2311
6,CYPRESS AV,2022-05-02T00:00:00Z,18,690,2399,1378
6,CYPRESS AV,2022-05-09T00:00:00Z,19,,2507,1483
6,E 143/ST MARY'S,2022-05-02T00:00:00Z,18,221,663,799
6,E 143/ST MARY'S,2022-05-09T00:00:00Z,19,,830,907
6,E 149 ST,2022-05-02T00:00:00Z,18,1346,5562,1642
6,E 149 ST,2022-05-09T00:00:00Z,19,,6011,1687
6,ELDER AV,2022-05-02T00:00:00Z,18,3834,8485,1797
6,ELDER AV,2022-05-09T00:00:00Z,19,,8606,1936
6,HUNTS POINT AV,2022-05-02T00:00:00Z,18,4381,10160,4044
6,HUNTS POINT AV,2022-05-09T00:00:00Z,19,,10842,4300
6,LONGWOOD AV,2022-05-02T00:00:00Z,18,843,3309,1607
6,LONGWOOD AV,2022-05-09T00:00:00Z,19,,3509,1691
6,MIDDLETOWN RD,2022-05-02T00:00:00Z,18,614,2611,455
6,MIDDLETOWN RD,2022-05-09T00:00:00Z,19,,2695,455
6,MORISN AV/SNDVW,2022-05-02T00:00:00Z,18,3114,6690,1947
6,MORISN AV/SNDVW,2022-05-09T00:00:00Z,19,,6963,2130
6,PARKCHESTER,2022-05-02T00:00:00Z,18,6375,18031,3361
6,PARKCHESTER,2022-05-09T00:00:00Z,19,,19836,3484
6,PELHAM BAY PARK,2022-05-02T00:00:00Z,18,2659,6070,2949
6,PELHAM BAY PARK,2022-05-09T00:00:00Z,19,,6438,2957
6,SPRING ST,2022-05-02T00:00:00Z,18,5681,751,7378
6,SPRING ST,2022-05-09T00:00:00Z,19,,842,7158
6,ST LAWRENCE AV,2022-05-02T00:00:00Z,18,2146,4051,1205
6,ST LAWRENCE AV,2022-05-09T00:00:00Z,19,,4512,1239
6,WESTCHESTER SQ,2022-05-02T00:00:00Z,18,2118,3500,3461
6,WESTCHESTER SQ,2022-05-09T00:00:00Z,19,,3783,3672
6,WHITLOCK AV,2022-05-02T00:00:00Z,18,875,1734,800
6,WHITLOCK AV,2022-05-09T00:00:00Z,19,,1923,861
6,ZEREGA AV,2022-05-02T00:00:00Z,18,1028,2990,752
6,ZEREGA AV,2022-05-09T00:00:00Z,19,,3220,716
7,103 ST-CORONA,2022-05-02T00:00:00Z,18,13600,20966,8161
7,103 ST-CORONA,2022-05-09T00:00:00Z,19,,22107,8566
7,111 ST,2022-05-02T00:00:00Z,18,7973,14405,4379
7,111 ST,2022-05-09T00:00:00Z,19,,14632,4411
7,33 ST-RAWSON ST,2022-05-02T00:00:00Z,18,1875,739,9638
7,33 ST-RAWSON ST,2022-05-09T00:00:00Z,19,,788,10162
7,34 ST-HUDSON YD,2022-05-02T00:00:00Z,18,8127,1482,16086
7,34 ST-HUDSON YD,2022-05-09T00:00:00Z,19,,1657,16444
7,40 ST LOWERY ST,2022-05-02T00:00:00Z,18,4384,4216,5091
7,40 ST LOWERY ST,2022-05-09T00:00:00Z,19,,4514,5393
7,46 ST BLISS ST,2022-05-02T00:00:00Z,18,6774,7507,5795
7,46 ST BLISS ST,2022-05-09T00:00:00Z,19,,7798,6661
7,52 ST,2022-05-02T00:00:00Z,18,3228,6022,2166
7,52 ST,2022-05-09T00:00:00Z,19,,6360,2241
